fragment_id,behavior_id
0,12
1,3
2,1
3,6
4,18
5,12
6,13
7,3
8,2
9,2
10,8
11,6
12,2
13,6
14,5
15,2
16,9
17,18
18,16
19,15
20,15
21,6
22,6
23,6
24,15
25,7
26,8
27,3
28,6
29,8
30,4
31,2
32,12
33,18
34,9
35,0
36,13
37,15
38,5
39,1
40,14
41,12
42,10
43,1
44,17
45,16
46,17
47,6
48,11
49,6
50,16
51,8
52,0
53,1
54,3
55,12
56,15
57,4
58,13
59,17
60,15
61,16
62,3
63,18
64,6
65,18
66,12
67,6
68,17
69,7
70,12
71,1
72,5
73,12
74,9
75,13
76,6
77,6
78,17
79,9
80,2
81,18
82,11
83,5
84,3
85,11
86,13
87,8
88,8
89,0
90,16
91,9
92,1
93,12
94,2
95,12
96,17
97,8
98,0
99,17
100,9
101,16
102,16
103,13
104,9
105,1
106,10
107,8
108,0
109,11
110,1
111,6
112,12
113,6
114,12
115,6
116,18
117,6
118,12
119,3
120,4
121,15
122,6
123,12
124,15
125,18
126,12
127,12
128,12
129,6
130,6
131,16
132,0
133,2
134,4
135,15
136,14
137,4
138,6
139,1
140,15
141,16
142,1
143,8
144,6
145,11
146,15
147,6
148,11
149,3
150,6
151,3
152,5
153,6
154,8
155,6
156,12
157,18
158,18
159,1
160,16
161,15
162,6
163,17
164,16
165,5
166,10
167,12
168,12
169,11
170,11
171,11
172,7
173,9
174,0
175,4
176,7
177,18
178,16
179,9
180,2
181,4
182,12
183,6
184,4
185,1
186,8
187,0
188,15
189,12
190,12
191,12
192,4
193,4
194,1
195,12
196,0
197,4
198,5
199,6
200,6
201,8
202,11
203,6
204,12
205,15
206,6
207,17
208,6
209,11
210,2
211,12
212,8
213,5
214,6
215,12
216,1
217,4
218,13
219,2
220,8
221,4
222,6
223,18
224,5
225,10
226,14
227,6
228,10
229,12
230,9
231,5
232,5
233,5
234,16
235,15
236,4
237,6
238,1
239,2
240,6
241,12
242,11
243,2
244,11
245,7
246,6
247,4
248,0
249,5
250,12
251,12
252,3
253,4
254,16
255,4
256,18
257,6
258,1
259,6
260,2
261,9
262,6
263,13
264,12
265,6
266,6
267,2
268,8
269,8
270,5
271,6
272,12
273,6
274,2
275,4
276,18
277,6
278,0
279,15
280,1
281,15
282,10
283,0
284,6
285,2
286,6
287,5
288,14
289,11
290,1
291,3
292,14
293,1
294,6
295,0
296,4
297,15
298,16
299,0
300,17
301,5
302,12
303,1
304,15
305,2
306,7
307,16
308,2
309,1
310,13
311,5
312,4
313,10
314,15
315,4
316,11
317,2
318,4
319,12
320,12
321,15
322,1
323,17
324,12
325,13
326,12
327,11
328,6
329,4
330,1
331,6
332,5
333,1
334,4
335,12
336,16
337,11
338,5
339,6
340,5
341,1
342,8
343,8
344,16
345,12
346,12
347,16
348,2
349,2
350,3
351,18
352,4
353,16
354,17
355,1
356,5
357,4
358,0
359,9
360,15
361,15
362,6
363,18
364,15
365,15
366,15
367,12
368,3
369,3
370,6
371,1
372,15
373,4
374,17
375,8
376,8
377,5
378,0
379,0
380,18
381,6
382,11
383,6
384,0
385,12
386,17
387,6
388,12
389,15
390,0
391,6
392,12
393,1
394,1
395,1
396,12
397,10
398,4
399,13
400,2
401,12
402,0
403,6
404,15
405,3
406,4
407,16
408,18
409,12
410,1
411,7
412,18
413,3
414,18
415,1
416,3
417,3
418,8
419,5
420,1
421,6
422,4
423,11
424,5
425,13
426,8
427,9
428,10
429,5
430,9
431,11
432,16
433,12
434,4
435,0
436,2
437,1
438,11
439,6
440,7
441,17
442,6
443,18
444,5
445,1
446,11
447,6
448,6
449,6
450,18
451,4
452,11
453,4
454,16
455,16
456,12
457,11
458,12
459,10
460,6
461,7
462,12
463,0
464,1
465,6
466,18
467,16
468,10
469,6
470,12
471,4
472,4
473,0
474,12
475,4
476,5
477,0
478,12
479,4
480,1
481,11
482,11
483,7
484,16
485,3
486,12
487,5
488,2
489,12
490,7
491,11
492,2
493,6
494,0
495,16
496,2
497,11
498,0
499,5
500,4
501,15
502,0
503,12
504,10
505,8
506,2
507,12
508,12
509,2
510,6
511,12
512,3
513,8
514,12
515,8
516,5
517,12
518,10
519,1
520,15
521,12
522,4
523,6
524,12
525,3
526,1
527,4
528,0
529,4
530,3
531,11
532,11
533,5
534,6
535,0
536,2
537,11
538,0
539,1
540,11
541,3
542,6
543,16
544,18
545,6
546,16
547,16
548,6
549,4
550,4
551,6
552,2
553,6
554,6
555,1
556,2
557,1
558,11
559,12
560,8
561,1
562,8
563,4
564,0
565,12
566,12
567,6
568,4
569,6
570,1
571,12
572,18
573,16
574,9
575,17
576,4
577,0
578,10
579,2
580,11
581,15
582,15
583,15
584,18
585,1
586,1
587,13
588,5
589,11
590,1
591,8
592,4
593,17
594,15
595,1
596,3
597,15
598,8
599,7
600,11
601,1
602,3
603,18
604,5
605,17
606,6
607,15
608,16
609,11
610,1
611,1
612,6
613,1
614,2
615,6
616,8
617,4
618,18
619,4
620,0
621,6
622,6
623,8
624,16
625,11
626,5
627,7
628,9
629,1
630,12
631,11
632,2
633,2
634,6
635,5
636,17
637,17
638,5
639,4
640,11
641,8
642,11
643,5
644,12
645,6
646,6
647,4
648,6
649,7
650,13
651,0
652,6
653,10
654,1
655,7
656,3
657,12
658,12
659,12
660,12
661,5
662,12
663,14
664,1
665,8
666,6
667,1
668,6
669,6
670,10
671,15
672,6
673,8
674,6
675,1
676,0
677,15
678,11
679,6
680,6
681,12
682,12
683,5
684,8
685,15
686,7
687,12
688,1
689,16
690,15
691,5
692,12
693,10
694,2
695,15
696,15
697,4
698,16
699,4
700,18
701,2
702,12
703,12
704,4
705,8
706,12
707,3
708,3
709,16
710,0
711,14
712,2
713,4
714,16
715,7
716,5
717,6
718,1
719,2
720,7
721,13
722,6
723,18
724,15
725,0
726,12
727,4
728,13
729,6
730,1
731,17
732,15
733,1
734,1
735,1
736,6
737,14
738,18
739,1
740,16
741,6
742,1
743,12
744,7
745,10
746,4
747,8
748,1
749,12
750,12
751,6
752,15
753,8
754,8
755,9
756,8
757,1
758,1
759,5
760,5
761,13
762,15
763,6
764,6
765,10
766,12
767,12
768,1
769,5
770,4
771,18
772,9
773,0
774,6
775,14
776,0
777,18
778,12
779,15
780,4
781,1
782,13
783,8
784,16
785,12
786,12
787,8
788,7
789,13
790,1
791,6
792,11
793,12
794,5
795,4
796,10
797,6
798,15
799,12
800,7
801,10
802,7
803,6
804,5
805,18
806,6
807,11
808,1
809,6
810,11
811,13
812,12
813,2
814,1
815,11
816,1
817,5
818,16
819,7
820,10
821,11
822,6
823,12
824,15
825,15
826,5
827,12
828,4
829,6
830,10
831,17
832,18
833,16
834,2
835,16
836,0
837,12
838,7
839,2
840,0
841,8
842,11
843,2
844,12
845,1
846,0
847,11
848,0
849,3
850,14
851,16
852,4
853,13
854,15
855,3
856,18
857,15
858,1
859,6
860,0
861,15
862,13
863,7
864,13
865,2
866,13
867,3
868,16
869,1
870,12
871,7
872,1
873,9
874,17
875,1
876,12
877,11
878,5
879,0
880,6
881,15
882,15
883,5
884,0
885,1
886,6
887,8
888,15
889,8
890,12
891,11
892,0
893,16
894,13
895,0
896,5
897,11
898,11
899,5
900,16
901,2
902,18
903,12
904,5
905,15
906,15
907,0
908,12
909,11
910,16
911,11
912,17
913,6
914,8
915,4
916,0
917,4
918,11
919,6
920,16
921,10
922,1
923,15
924,16
925,2
926,12
927,6
928,0
929,12
930,16
931,5
932,15
933,4
934,0
935,11
936,9
937,8
938,10
939,0
940,4
941,16
942,12
943,13
944,1
945,17
946,6
947,6
948,11
949,6
950,1
951,14
952,0
953,0
954,12
955,6
956,4
957,5
958,8
959,1
960,5
961,6
962,6
963,6
964,4
965,1
966,5
967,2
968,2
969,1
970,15
971,6
972,0
973,12
974,18
975,7
976,13
977,8
978,1
979,0
980,13
981,14
982,3
983,1
984,0
985,12
986,12
987,11
988,5
989,15
990,6
991,12
992,0
993,2
994,12
995,6
996,16
997,16
998,18
999,15
1000,4
1001,4
1002,3
1003,12
1004,5
1005,9
1006,15
1007,11
1008,7
1009,9
1010,18
1011,15
1012,6
1013,8
1014,9
1015,4
1016,4
1017,1
1018,12
1019,8
1020,7
1021,15
1022,1
1023,14
1024,1
1025,3
1026,1
1027,7
1028,15
1029,4
1030,12
1031,5
1032,10
1033,5
1034,9
1035,13
1036,2
1037,14
1038,5
1039,1
1040,12
1041,1
1042,9
1043,8
1044,11
1045,5
1046,6
1047,10
1048,16
1049,17
1050,12
1051,12
1052,7
1053,15
1054,2
1055,2
1056,10
1057,15
1058,12
1059,1
1060,1
1061,16
1062,5
1063,16
1064,4
1065,12
1066,16
1067,12
1068,18
1069,7
1070,4
1071,10
1072,16
1073,16
1074,10
1075,4
1076,13
1077,1
1078,4
1079,5
1080,12
1081,12
1082,14
1083,0
1084,1
1085,11
1086,8
1087,13
1088,13
1089,1
1090,6
1091,8
1092,2
1093,16
1094,6
1095,11
1096,12
1097,10
1098,2
1099,4
1100,17
1101,13
1102,11
1103,2
1104,6
1105,6
1106,11
1107,1
1108,12
1109,7
1110,8
1111,1
1112,4
1113,11
1114,12
1115,8
1116,12
1117,2
1118,18
1119,0
1120,2
1121,11
1122,8
1123,15
1124,11
1125,12
1126,17
1127,3
1128,12
1129,18
1130,7
1131,3
1132,6
1133,6
1134,7
1135,12
1136,12
1137,4
1138,16
1139,13
1140,12
1141,15
1142,0
1143,9
1144,12
1145,6
1146,1
1147,17
1148,8
1149,17
1150,12
1151,16
1152,4
1153,9
1154,4
1155,11
1156,0
1157,1
1158,15
1159,4
1160,9
1161,0
1162,8
1163,15
1164,4
1165,7
1166,12
1167,16
1168,7
1169,2
1170,9
1171,15
1172,10
1173,6
1174,2
1175,8
1176,5
1177,13
1178,4
1179,1
1180,15
1181,3
1182,4
1183,5
1184,4
1185,9
1186,6
1187,11
1188,6
1189,18
1190,12
1191,10
1192,12
1193,14
1194,0
1195,10
1196,5
1197,1
1198,9
1199,18
1200,15
1201,12
1202,0
1203,15
1204,8
1205,1
1206,2
1207,5
1208,10
1209,15
1210,4
1211,18
1212,10
1213,1
1214,12
1215,16
1216,12
1217,15
1218,5
1219,4
1220,6
1221,6
1222,1
1223,16
1224,12
1225,3
1226,12
1227,12
1228,12
1229,12
1230,1
1231,6
1232,6
1233,6
1234,13
1235,0
1236,2
1237,11
1238,4
1239,12
1240,12
1241,6
1242,15
1243,6
1244,5
1245,5
1246,9
1247,17
1248,14
1249,18
1250,6
1251,6
1252,6
1253,4
1254,12
1255,15
1256,15
1257,1
1258,7
1259,12
1260,18
1261,14
1262,16
1263,12
1264,12
1265,3
1266,4
1267,5
1268,11
1269,9
1270,17
1271,5
1272,17
1273,16
1274,12
1275,6
1276,4
1277,0
1278,12
1279,11
1280,15
1281,11
1282,16
1283,0
1284,6
1285,1
1286,15
1287,16
1288,2
1289,18
1290,13
1291,13
1292,0
1293,16
1294,5
1295,12
1296,0
1297,0
1298,4
1299,4
1300,16
1301,17
1302,5
1303,6
1304,18
1305,0
1306,16
1307,17
1308,7
1309,18
1310,15
1311,11
1312,4
1313,0
1314,0
1315,16
1316,10
1317,14
1318,1
1319,1
1320,15
1321,12
1322,0
1323,0
1324,12
1325,11
1326,1
1327,7
1328,0
1329,8
1330,8
1331,16
1332,6
1333,6
1334,5
1335,8
1336,8
1337,2
1338,5
1339,18
1340,9
1341,0
1342,2
1343,6
1344,8
1345,6
1346,11
1347,7
1348,1
1349,11
1350,11
1351,1
1352,0
1353,5
1354,15
1355,13
1356,8
1357,5
1358,15
1359,1
1360,6
1361,14
1362,15
1363,15
1364,7
1365,12
1366,12
1367,18
1368,12
1369,12
1370,9
1371,1
1372,2
1373,0
1374,15
1375,11
1376,12
1377,0
1378,0
1379,2
1380,4
1381,15
1382,6
1383,4
1384,12
1385,6
1386,6
1387,1
1388,5
1389,11
1390,6
1391,5
1392,4
1393,15
1394,4
1395,16
1396,12
1397,4
1398,14
1399,3
1400,2
1401,0
1402,6
1403,2
1404,5
1405,10
1406,5
1407,12
1408,12
1409,3
1410,12
1411,3
1412,17
1413,2
1414,4
1415,8
1416,6
1417,13
1418,6
1419,6
1420,0
1421,16
1422,12
1423,5
1424,5
1425,12
1426,7
1427,6
1428,12
1429,10
1430,12
1431,18
1432,4
1433,16
1434,6
1435,3
1436,1
1437,1
1438,4
1439,1
1440,6
1441,15
1442,4
1443,12
1444,11
1445,4
1446,4
1447,6
1448,13
1449,12
1450,2
1451,14
1452,11
1453,15
1454,0
1455,8
1456,12
1457,15
1458,8
1459,12
1460,12
1461,4
1462,1
1463,11
1464,11
1465,12
1466,12
1467,5
1468,1
1469,1
1470,12
1471,12
1472,3
1473,6
1474,12
1475,3
1476,13
1477,16
1478,8
1479,3
1480,6
1481,4
1482,12
1483,5
1484,6
1485,5
1486,15
1487,1
1488,11
1489,0
1490,0
1491,15
1492,18
1493,11
1494,14
1495,10
1496,17
1497,5
1498,3
1499,10
1500,4
1501,7
1502,12
1503,18
1504,0
1505,12
1506,1
1507,8
1508,15
1509,1
1510,1
1511,0
1512,9
1513,17
1514,12
1515,6
1516,5
1517,8
1518,7
1519,0
1520,18
1521,8
1522,3
1523,6
1524,5
1525,13
1526,6
1527,10
1528,4
1529,6
1530,8
1531,18
1532,18
1533,6
1534,10
1535,11
1536,11
1537,13
1538,9
1539,0
1540,6
1541,6
1542,3
1543,6
1544,16
1545,15
1546,2
1547,5
1548,16
1549,4
1550,12
1551,1
1552,10
1553,0
1554,18
1555,12
1556,16
1557,2
1558,12
1559,6
1560,16
1561,11
1562,8
1563,6
1564,15
1565,6
1566,6
1567,13
1568,12
1569,6
1570,0
1571,18
1572,4
1573,18
1574,16
1575,15
1576,10
1577,16
1578,12
1579,15
1580,6
1581,16
1582,0
1583,18
1584,9
1585,6
1586,12
1587,2
1588,11
1589,6
1590,12
1591,4
1592,7
1593,1
1594,2
1595,12
1596,11
1597,18
1598,6
1599,12
1600,12
1601,8
1602,4
1603,17
1604,0
1605,7
1606,6
1607,6
1608,10
1609,2
1610,17
1611,7
1612,12
1613,6
1614,2
1615,0
1616,12
1617,16
1618,10
1619,7
1620,11
1621,18
1622,15
1623,13
1624,12
1625,15
1626,5
1627,8
1628,6
1629,7
1630,12
1631,6
1632,5
1633,2
1634,16
1635,12
1636,6
1637,5
1638,18
1639,6
1640,2
1641,8
1642,8
1643,11
1644,1
1645,13
1646,18
1647,4
1648,16
1649,18
1650,15
1651,2
1652,12
1653,2
1654,12
1655,5
1656,8
1657,11
1658,15
1659,12
1660,13
1661,16
1662,12
1663,4
1664,15
1665,1
1666,6
1667,18
1668,13
1669,4
1670,4
1671,15
1672,6
1673,3
1674,4
1675,18
1676,7
1677,11
1678,12
1679,9
1680,9
1681,11
1682,15
1683,0
1684,12
1685,9
1686,1
1687,1
1688,8
1689,6
1690,0
1691,6
1692,2
1693,6
1694,17
1695,10
1696,0
1697,6
1698,1
1699,12
1700,3
1701,8
1702,3
1703,4
1704,0
1705,12
1706,12
1707,2
1708,15
1709,2
1710,6
1711,3
1712,17
1713,1
1714,15
1715,8
1716,6
1717,6
1718,1
1719,10
1720,2
1721,4
1722,17
1723,12
1724,13
1725,8
1726,6
1727,1
1728,2
1729,17
1730,10
1731,6
1732,4
1733,12
1734,6
1735,1
1736,18
1737,15
1738,6
1739,18
1740,17
1741,3
1742,6
1743,7
1744,17
1745,1
